            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -7.380730089508210E+08, -3.454859091579781E+08,  1.787694413697813E+07,  6.314240278907135E+00, -9.470825232410625E+00, -1.339925757010265E-01,  2.718970672786758E+03,  8.151269012246560E+08, -1.706150332784855E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -7.375462304913692E+08, -3.462954942575019E+08,  1.786800249735445E+07,  5.873414057082360E+00, -9.289269369233789E+00, -7.269740873282471E-02,  2.718525432105456E+03,  8.149934214264069E+08, -1.369803974531619E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -7.370588540769925E+08, -3.470943374970714E+08,  1.786438658531250E+07,  5.404667274608591E+00, -9.222147349002395E+00, -1.133583452785203E-02,  2.718187941505643E+03,  8.148922442899368E+08, -9.606242505111174E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -7.366123525184675E+08, -3.478927499631357E+08,  1.786592599416210E+07,  4.934632126913413E+00, -9.279891218112578E+00,  4.603443313103384E-02,  2.717977012845495E+03,  8.148290094684485E+08, -4.978733600563670E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -7.362053275220283E+08, -3.487011901636363E+08,  1.787213160755186E+07,  4.493730201988596E+00, -9.453655289227390E+00,  9.607236157431087E-02,  2.717903126647734E+03,  8.148068589436095E+08, -1.238360526748100E-02,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -7.358340327604653E+08, -3.495295392290589E+08,  1.788222357124564E+07,  4.113756443280385E+00, -9.736472909824418E+00,  1.356254282327294E-01,  2.717968992947008E+03,  8.148266051633682E+08,  4.645996807964954E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -7.354922413825548E+08, -3.503861213932011E+08,  1.789519763032149E+07,  3.813110128787208E+00, -1.010594505237392E+01,  1.623453313207355E-01,  2.718167760167266E+03,  8.148861940768991E+08,  9.073355050269173E-01,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -7.351720658676649E+08, -3.512777584779925E+08,  1.790985892172870E+07,  3.616321973831406E+00, -1.054147377514705E+01,  1.745598345964905E-01,  2.718485559555244E+03,  8.149814679365718E+08,  1.285296372575281E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000, -7.348641793063645E+08, -3.522088642050607E+08,  1.792491623084030E+07,  3.531162863069740E+00, -1.101690907748754E+01,  1.714024657166617E-01,  2.718900866718306E+03,  8.151059738918114E+08,  1.580653743161245E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000, -7.345583025116532E+08, -3.531816170522977E+08,  1.793904722412045E+07,  3.568293063505611E+00, -1.149875547656722E+01,  1.532589353627571E-01,  2.719386198681941E+03,  8.152514727541353E+08,  1.769735014541080E+00,
