            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000, -1.069678494192601E+08,  2.178946590300488E+08,  7.127760024113417E+06, -1.987968885764122E+01, -6.890821978535064E+00,  2.692590721284271E-01,  8.100252810013209E+02,  2.428394700335267E+08,  2.581678640379740E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000, -1.087011236923041E+08,  2.173002108610518E+08,  7.153429652579755E+06, -2.024945539293039E+01, -6.888401452548707E+00,  3.252454638746975E-01,  8.108180043361065E+02,  2.430771225105760E+08,  2.906954305209105E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000, -1.104677617711312E+08,  2.167009618915613E+08,  7.183959519125715E+06, -2.064716429506935E+01, -7.003147736771481E+00,  3.811306788065991E-01,  8.116927236474570E+02,  2.433393567629859E+08,  3.147847571094567E+00,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000, -1.122689066128882E+08,  2.160865846351439E+08,  7.219177653261393E+06, -2.104323972763865E+01, -7.238558276635270E+00,  4.331564668137200E-01,  8.126229034856362E+02,  2.436182176630556E+08,  3.289873890828662E+00,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000, -1.141031336223729E+08,  2.154467696682004E+08,  7.258595886888161E+06, -2.140812740643943E+01, -7.590719542487803E+00,  4.777991209273411E-01,  8.135786437946339E+02,  2.439047413994997E+08,  3.324275548138439E+00,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000, -1.159665307959140E+08,  2.147718588842091E+08,  7.301439552815154E+06, -2.171409721488925E+01, -8.048545262980728E+00,  5.119843527997845E-01,  8.145284056962713E+02,  2.441894728545064E+08,  3.248484504524269E+00,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000, -1.178529305829120E+08,  2.140534390690064E+08,  7.346694654686257E+06, -2.193693458585474E+01, -8.594452019319228E+00,  5.332747635248003E-01,  8.154408184520105E+02,  2.444630073172600E+08,  3.066221889276080E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000, -1.197542793268380E+08,  2.132848596030505E+08,  7.393169632003695E+06, -2.205741753299869E+01, -9.205430994480951E+00,  5.400184875055123E-01,  8.162864631125575E+02,  2.447165252086399E+08,  2.787239361677751E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000, -1.216611217586397E+08,  2.124616427228067E+08,  7.439567954046100E+06, -2.206248926189624E+01, -9.854450537095614E+00,  5.314499419459722E-01,  8.170395328305950E+02,  2.449422898304557E+08,  2.426727542708040E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000, -1.235631710002852E+08,  2.115817613247317E+08,  7.484567116272494E+06, -2.194605484816233E+01, -1.051210403160717E+01,  5.077365318563900E-01,  8.176792795149162E+02,  2.451340810614457E+08,  2.004432952657289E+00,
