            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2457944.500000000, A.D. 2017-Jul-10 00:00:00.0000,  2.697672386110554E+09,  1.267068661324524E+09, -3.030033252663791E+07, -2.004016234153325E+00,  7.595358087569743E+00, -6.229132445572105E-04,  9.942122476684182E+03,  2.980573335022199E+09,  1.415056550706119E+00,
2457945.500000000, A.D. 2017-Jul-11 00:00:00.0000,  2.697479798442665E+09,  1.267733279855409E+09, -3.029774089486474E+07, -2.461364707489547E+00,  7.770359689399255E+00,  6.098975061023992E-02,  9.942483656994309E+03,  2.980681614155153E+09,  1.076738331508792E+00,
2457946.500000000, A.D. 2017-Jul-12 00:00:00.0000,  2.697246225842226E+09,  1.268407973580172E+09, -3.028978125043005E+07, -2.947742485498385E+00,  7.827338207159848E+00,  1.229288227314829E-01,  9.942735770669804E+03,  2.980757195933625E+09,  6.621630958897524E-01,
2457947.500000000, A.D. 2017-Jul-13 00:00:00.0000,  2.696970444658354E+09,  1.269082333424676E+09, -3.027662096890318E+07, -3.433569058574101E+00,  7.762687493822375E+00,  1.807042649090627E-01,  9.942860411178301E+03,  2.980794562218033E+09,  1.965194718642027E-01,
2457948.500000000, A.D. 2017-Jul-14 00:00:00.0000,  2.696653759093625E+09,  1.269745973485320E+09, -3.025876646239591E+07, -3.889736778112630E+00,  7.580466159323555E+00,  2.311614656530550E-01,  9.942846817252024E+03,  2.980790486861460E+09, -2.922048987618500E-01,
2457949.500000000, A.D. 2017-Jul-15 00:00:00.0000,  2.696299971738708E+09,  1.270389161172057E+09, -3.023697542313582E+07, -4.288001499566517E+00,  7.291645123853666E+00,  2.712358228242020E-01,  9.942692671163470E+03,  2.980744275026682E+09, -7.738713984539738E-01,
2457950.500000000, A.D. 2017-Jul-16 00:00:00.0000,  2.695915149914744E+09,  1.271003402423222E+09, -3.021227351495641E+07, -4.604516468442351E+00,  6.913853341872892E+00,  2.982807497758624E-01,  9.942404224478312E+03,  2.980657800885937E+09, -1.219484612573155E+00,
2457951.500000000, A.D. 2017-Jul-17 00:00:00.0000,  2.695507232732135E+09,  1.271581970910858E+09, -3.018584697971660E+07, -4.819806781634274E+00,  6.470077245501772E+00,  3.109147847373954E-01,  9.941995863618951E+03,  2.980535377380158E+09, -1.601717505798574E+00,
2457952.500000000, A.D. 2017-Jul-18 00:00:00.0000,  2.695085582782442E+09,  1.272120305705714E+09, -3.015900315834540E+07, -4.920947462068656E+00,  5.987301454665401E+00,  3.078461629352263E-01,  9.941489327459783E+03,  2.980383521659935E+09, -1.897437391561099E+00,
2457953.500000000, A.D. 2017-Jul-19 00:00:00.0000,  2.694660349685829E+09,  1.272616305319684E+09, -3.013307955454671E+07, -4.902242906369476E+00,  5.495102003728898E+00,  2.898716681432696E-01,  9.940912211099290E+03,  2.980210506527671E+09, -2.088932270852375E+00,
2457954.500000000, A.D. 2017-Jul-20 00:00:00.0000,  2.694241920172889E+09,  1.273070447914980E+09, -3.010931100980544E+07, -4.764219004068523E+00,  5.023307862299701E+00,  2.580932186561014E-01,  9.940296483571276E+03,  2.980025916058588E+09, -2.163976072024295E+00,
